song_title,song_id,track_duration,explicit,artists,artist_ids,genres,release_date,lyrics,sentiments,languages,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,222973,False,['The Killers'],['0C0XlULifJtAgn6ZNCW2eu'],"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",2004,"I'm coming out of my cage, and I've been doing just fine Gotta, gotta be down because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss Now I'm falling asleep, and she's calling a cab While he's having a smoke, and she's taking a drag Now they're going to bed, and my stomach is sick And it's all in my head, but she's touching his Chest now, he takes off her dress now Let me go ♪ I just can't look, it's killing me And taking control Jealousy, turning saints into the sea Swimming through sick lullabies, choking on your alibis But it's just the price I pay, destiny is calling me Open up my eager eyes, 'cause I'm Mr. Brightside ♪ I'm coming out of my cage, and I've been doing just fine Gotta, gotta be down because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss Now I'm falling asleep, and she's calling a cab While he's having a smoke, and she's taking a drag Now they're going to bed, and my stomach is sick And it's all in my head, but she's touching his Chest now, he takes off her dress now Let me go ♪ 'Cause I just can't look, it's killing me And taking control Jealousy, turning saints into the sea Swimming through sick lullabies, choking on your alibis But it's just the price I pay, destiny is calling me Open up my eager eyes, 'cause I'm Mr. Brightside ♪ I never I never I never I never ","[0.15642821788787842, 0.1772293746471405, 0.47621649503707886, 0, 0, 0, 0]",['en'],0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
Achei Que Fosse Fácil,004dXjRVGDeHXat28g5TU3,222506,False,['Bala na Agulha'],['5uKIde9lSDOLoGbRspbhvF'],[],2014-01-01,,"[0, 0, 0, 0, 0, 0, 0]",[],0.542,0.887,6,-6.096,0,0.0336,0.0149,0.00931,0.199,0.598,99.981,audio_features,004dXjRVGDeHXat28g5TU3,spotify:track:004dXjRVGDeHXat28g5TU3,https://api.spotify.com/v1/tracks/004dXjRVGDeHXat28g5TU3,https://api.spotify.com/v1/audio-analysis/004dXjRVGDeHXat28g5TU3,222507,4
En Solskinnsdag,005cocyIL36CVjjtUEdVSq,186413,False,['Postgirobygget'],['3DdqT0OIZY3arBWnZ3NJeb'],"['classic norwegian pop', 'norwegian pop', 'norwegian rock']",1996-01-01,"Jeg sitter nedpå berget og ser utover havet En solskinnsdag i ferien min I sommer skal jeg surfe, stå på vannski og bade Ja, denne ferien tror jeg blir fin Forbi meg suser Andersen i sin cabincruiser Med alle sine venner ombord Det kryr av jenter der i gjennomsiktige bluser Som Andersen ble kjent med i fjor Jeg titter på jenter, jeg har solbriller på Så ingen riktig ser hvor jeg ser Den peneste av jentene tar av seg sin bh Og snur seg imot meg og sier Du, si meg har du det bra? Jo, takk skal du ha Jeg har det bedre enn de fleste her til stede Jeg smiler hver dag fordi jeg er glad Det er så fint å leve, si meg kan du ikke se det? Å, blir du med å lyse etter krabber? For krabber er det beste jeg vet ♪ Vi reiser ut i båten min, en hvit Dromedelle Hun sier hun er glad at jeg spurte Vi finner oss en holme det er fredlig og stille Jeg sier jeg er glad at jeg turte Så sitter vi og koser oss til solen går ned Og månen atter titter frem Vi lyser etter krabber helt til klokka blir fire Fornøyde vi vender hjem Hun sier Takk for i dag Jeg har hatt det så bra Det har vært så gøy å være Sammen med deg, kjære Jeg gleder meg til middag Klokka to i morra Vi har hatt det så fint Kanskje er det mer i gjære Jeg dekker på med lys og røde roser Og åpner en Veuv Cliqout (eller noe) Nå har jeg det bra Å, takk skal du ha Jeg har det bedre enn de fleste her til stede Jeg smiler hver dag fordi jeg er glad Det er så fint å leve selv om stolbena er skjeve Jeg dekker på med lys og røde roser Og venter på at hun skal ringe på ","[0, 0.1094469204545021, 0.36499160528182983, 0, 0.20198245346546173, 0.19654534757137299, 0]","['da', 'no']",0.786,0.436,10,-9.802,1,0.0433,0.411,0.0,0.107,0.734,120.1,audio_features,005cocyIL36CVjjtUEdVSq,spotify:track:005cocyIL36CVjjtUEdVSq,https://api.spotify.com/v1/tracks/005cocyIL36CVjjtUEdVSq,https://api.spotify.com/v1/audio-analysis/005cocyIL36CVjjtUEdVSq,186413,4
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,179640,False,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],"['dance pop', 'pop']",2008-06-17,"This was never the way I planned Not my intention I got so brave, drink in hand Lost my discretion It's not what I'm used to Just wanna try you on I'm curious for you Caught my attention I kissed a girl and I liked it The taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it ♪ No, I don't even know your name It doesn't matter You're my experimental game Just human nature It's not what good girls do Not how they should behave My head gets so confused Hard to obey I kissed a girl and I liked it The taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it Us girls, we are so magical Soft skin, red lips, so kissable Hard to resist, so touchable Too good to deny it Ain't no big deal, it's innocent I kissed a girl and I liked it The taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it ","[0.15495659410953522, 0.15225033462047577, 0, 0, 0, 0.6268385648727417, 0]",['en'],0.702,0.76,5,-3.174,1,0.0684,0.00226,0.0,0.132,0.696,129.996,audio_features,005lwxGU1tms6HGELIcUv9,spotify:track:005lwxGU1tms6HGELIcUv9,https://api.spotify.com/v1/tracks/005lwxGU1tms6HGELIcUv9,https://api.spotify.com/v1/audio-analysis/005lwxGU1tms6HGELIcUv9,179640,4
"Dias De Luta, Dias De Gloria",006pMMCuRo2TFjh8sNGSov,145466,False,['Charlie Brown Jr.'],['1on7ZQ2pvgeQF4vmIA09x5'],"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']",2005-01-01,"Canto minha vida com orgulho ♪ Na minha vida e tudo acontece Mas quanto mais a gente rala, mais a gente cresce Hoje estou feliz porque sonhei com você E amanhã posso chorar por não poder te ver Mas o seu sorriso vale mais que um diamante Se você vier comigo aí nós vamo adiante Com a cabeça erguida, e mantendo a fé em Deus O seu dia mais feliz vai ser o mesmo que o meu A vida me ensinou a nunca desistir Nem ganhar, nem perder mas procurar evoluir Podem me tirar tudo que tenho Só não podem me tirar as coisas boas Que eu já fiz pra quem eu amo Eu sou feliz e canto O universo é uma canção eu vou que vou Histórias, nossas histórias Dias de luta, dias de glória Histórias, nossas histórias Dias de luta, dias de glória Histórias, nossas histórias Dias de luta, dias de glória Histórias, nossas histórias Dias de luta, dias de glória Oh minha gata, morada dos meus sonhos Todo dia, se pudesse eu ia estar com você Já te via muito antes nos meus sonhos Eu procurei a vida inteira por alguém como você Por isso eu canto minha vida com orgulho Com melodia, alegria e barulho Eu sou feliz e rodo pelo mundo Sou correria mas também sou vagabundo Mas hoje dou valor de verdade Pra minha saúde, pra minha liberdade Que bom te encontrar nesta cidade Esse brilho intenso me lembra você Histórias, nossas histórias Dias de luta, dias de glória Histórias, nossas histórias Dias de luta, dias de glória Histórias, nossas histórias Dias de luta, dias de glória Histórias, nossas histórias Dias de luta, dias de glória Hoje estou feliz, acordei com o pé direito E vou fazer de novo, vou fazer muito bem feito Sintonia Telepatia Comunicação pelo cortéx Bum, bye bye ","[0.19617672264575958, 0, 0.1205766499042511, 0.3036392331123352, 0.20745891332626343, 0, 0]",['pt'],0.346,0.433,3,-10.602,0,0.065,0.888,0.0,0.101,0.768,77.963,audio_features,006pMMCuRo2TFjh8sNGSov,spotify:track:006pMMCuRo2TFjh8sNGSov,https://api.spotify.com/v1/tracks/006pMMCuRo2TFjh8sNGSov,https://api.spotify.com/v1/audio-analysis/006pMMCuRo2TFjh8sNGSov,145467,3
Agora Estou Sofrendo - Ao Vivo,006rHBBNLJMpQs8fRC2GDe,260510,False,"['Calcinha Preta', 'Gusttavo Lima']","['6Kps94g1Npexh3LrinIOvC', '7MiDcPa6UiV3In7lIM71IN']","['axe', 'forro', 'sertanejo', 'sertanejo universitario', 'tecnobrega', 'arrocha', 'sertanejo', 'sertanejo universitario']",2020-12-08,"Não há amor para mim, não (Você estava mentindo) Diga logo que não me amou Que não gostou de mim Não sente amor por mim Entra meu Embaixador, Gusttavo Lima ♪ Quais as armas que encontrar Pra fazer seu encanto Derramar seu amor em mim Mas não gostou de mim Não sente amor Me fere, me risca de amor Tu foge, não me alimenta Já sabe que já me conquistou Agora estou sofrendo Me fere, me risca de amor Me foge, não me alimenta Não sabe que já me conquistou Agora estou sofrendo Quem tá apaixonado, dá um moral Bota a mãozinha pra cima e faz barulho! Calcinha Preta! Não há amor para mim, não Então diz (Você estava mentindo) Diga logo (que não me amou) E não gostou de mim Quais as armas que encontrar (Então diz Gusttavo, vai) Pra fazer seus encantos Derramar seu amor em mim Mas não gostou de mim E não sente amor Me fere, me risca de amor Tu foge, não me alimenta Já sabe que já me conquistou Agora estou sofrendo Me fere, me risca de amor Tu foge, não me alimenta Já sabe que já me conquistou Agora estou sofrendo, oh-oh É o embaixador! Daniel Diau! Me fere, me risca de amor Me foge, não me alimenta Não sabe que já me conquistou Agora estou sofrendo Me fere, me risca de amor Tu foge, não me alimenta Já sabe que já me conquistou Agora estou sofrendo, oh-oh Ah, menino! Agora estou sofrendo, oh-oh Esse é o Embaixador que eu conheço! Ah, moleque! Que saudade do senhor Viu, meu (obrigado, irmão!) Boa noite, Aracaju, tudo bem? Que alegria maravilhosa tá aqui Comemorando esses 25 anos Da maior banda de forró do mundo ","[0.13688471913337708, 0, 0, 0.16988077759742737, 0.4345822036266327, 0, 0]",['pt'],0.605,0.678,0,-3.257,1,0.0311,0.642,0.0,0.157,0.439,125.059,audio_features,006rHBBNLJMpQs8fRC2GDe,spotify:track:006rHBBNLJMpQs8fRC2GDe,https://api.spotify.com/v1/tracks/006rHBBNLJMpQs8fRC2GDe,https://api.spotify.com/v1/audio-analysis/006rHBBNLJMpQs8fRC2GDe,260511,4
Berlin City Girl,007iBVyzpG54jM8zQiHHAO,226320,False,['Culcha Candela'],['3gemH8D6fpu12DmTmUZYAL'],['german pop'],2010-10-22,"Sie is'n Berlin-City-Girl Sie is'n Berlin-City-Girl (oh) Sie is'n Berlin-City-Girl (e-ey) Und sie weiß, dass ihr die Welt gehört Sie ist so frech, so laut, so cool Haut dich sofort vom Stuhl So kess, so dreist, so fly So verdammt elegant und heiß 'Ne Killerbraut, r-rattenscharf So sagenhaft smart mit 'ner hammer Art Sie sagt auch gern: ""Halt die Schnauze jetzt!"" Du bestellst zehn Drinks und sie haut sie weg Große Klappe, viel dahinter Schmeckt wie der Sommer, ist cool wie der Winter Wat 'ne Wucht! Das sieht auch 'n Blinder Du siehst sie und du weißt, ich will Kinder Sie ist die Axt im Wald, so Bombe, dass es knallt Sie läuft durch den Kiez und du bist gleich verliebt Sie is'n Berlin-City-Girl Sie is'n Berlin-City-Girl Sie is'n Berlin-City-Girl Und sie weiß, dass ihr die Welt gehört Sie rockt, sie hat die Hosen an Braucht kein'n Mann mit Zwei-Meter-Oberarm Sie liebt Currywurst heiß und fettig Und scheißt drauf, sind die Highheels dreckig Feuerzeug, Bierflasche Wie du deine dann aufkriegst, ihr latte Und der Grund, warum ich sie doppelt mag Ist, weil sie manchmal so süß ""Opfer"" sagt Auf so eine Braut würde jeder warten Bring kein'n Strauß mit, schenk ihr'n Schrebergarten Schick gemacht, Sektpulle in der Hand 13 Uhr, so geht Citybrunch Sie macht den Style zum Trend, dreitausend Facebookfans Sie läuft durch den Kiez und du bist gleich verliebt Sie is'n Berlin-City-Girl Sie is'n Berlin-City-Girl Sie is'n Berlin-City-Girl Und sie weiß, dass ihr die Welt gehört Sie is'n Berlin-City-Girl (Berlin-City-Girl) Sie is'n Berlin-City-Girl (uhh) Und sie weiß, und sie weiß (wouh) Und sie weiß, dass ihr die Welt gehört (e-ey) Ich sah so viel von dieser Welt, ich sah so viel, was mir gefällt Jetzt weiß ich auch, dass jede Stadt so wunderschöne Töchter hat Ob Ost, ob West, ob Nord, ob Süd Wir woll'n euch hör'n, alle City-Girls Wo sind die Hamburg-City-Girls? (Wouh) Wo sind die München-City-Girls? (Yeah) Wo sind unsre Kölner-City-Girls? (Hey) Und die Frankfurt-City-Girls? (Uhh) Wir lieben unsre Stuttgart-City-Girls (wouh) Wir lieben unsre Dortmund-City-Girls (du-du-du-du) Wo sind unsre Düsseldorf-City-Girls? (Düsseldorf-City-Girls) Und unsre Essen-City-Girls? (Uhh) Bremen-City-Girls (hey, yeah-yeah-yeah) Hannover-City-Girls (uhh, wouh) Leipzig-City-Girls (hey, yeah) Dresden-City-Girls (hey) Nürnberg-City-Girls (alle City-Girls) Duisburg-City-Girls (hey, yeah) Bochum-City-Girls Wuppertal-City-Girls (ah, ah) ","[0, 0, 0, 0.23224063217639923, 0.392282634973526, 0.11482939124107361, 0.1522083878517151]",['de'],0.797,0.814,7,-4.127,0,0.0401,0.0312,0.0,0.316,0.808,121.977,audio_features,007iBVyzpG54jM8zQiHHAO,spotify:track:007iBVyzpG54jM8zQiHHAO,https://api.spotify.com/v1/tracks/007iBVyzpG54jM8zQiHHAO,https://api.spotify.com/v1/audio-analysis/007iBVyzpG54jM8zQiHHAO,226320,4
Clouds,008FVtI1rA2QkA00kGot6V,184468,False,['Paper Idol'],['6dewigIOIcG6m1XGsG4Mc3'],[],2021-06-25,"Sweet dreams, bad as it seems I can ship my mind to a new location Heartbreak, made a mistake We can fix this good as new She speaks, it makes me weak Every word drips out, no explanation Lips shake, she made a mistake Now I don't know what to do Loving you was easy 'Til you got yourself thinking out loud But now you got me with my head in the clouds ♪ You got me with my head in the clouds ♪ With my head in the clouds Raindrops and mountain tops Couldn't stop us sinking in bad decisions God sent, he came and went Now we're out here on our own Your skin, the perfect sin For a star-crossed lover with double vision Lips shake, she made a mistake But she won't leave me alone Loving you was easy 'Til you got yourself thinking out loud But now you got me with my head in the clouds ♪ You got me with my head in the clouds ♪ With my head in the clouds (Head) (Head) (Head) With my head in the clouds (head) (Head) With my head in the clouds (head) You got me with my head in the clouds ♪ With my head in the clouds (Head) (Head) (Head) You got me with my head in the clouds (Head) (Head) (Head) ","[0, 0, 0.9560897350311279, 0, 0, 0, 0]",['en'],0.74,0.632,6,-4.979,0,0.0837,0.135,0.00808,0.19,0.498,92.096,audio_features,008FVtI1rA2QkA00kGot6V,spotify:track:008FVtI1rA2QkA00kGot6V,https://api.spotify.com/v1/tracks/008FVtI1rA2QkA00kGot6V,https://api.spotify.com/v1/audio-analysis/008FVtI1rA2QkA00kGot6V,184468,4
Unconditionally,009ImBOrIUlWgla8U05RAC,228878,False,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],"['dance pop', 'pop']",2013-01-01,"Oh, no, did I get too close? Oh, did I almost see what's really on the inside? All your insecurities All the dirty laundry Never made me blink one time Unconditional, unconditionally I will love you unconditionally There is no fear now Let go and just be free I will love you unconditionally Come just as you are to me Don't need apologies Know that you are worthy I'll take your bad days with your good Walk through the storm, I would I do it all because I love you I love you Unconditional, unconditionally I will love you unconditionally There is no fear now Let go and just be free I will love you unconditionally So open up your heart and just let it begin Open up your heart and just let it begin Open up your heart and just let it begin Open up your heart Acceptance is the key to be To be truly free Will you do the same for me? ♪ Unconditional, unconditionally I will love you unconditionally, yeah And there is no fear now Let go and just be free 'Cause I will love you unconditionally, oh, yeah ♪ I will love you (unconditionally) I will love you  I will love you unconditionally ","[0, 0, 0.4394153952598572, 0.18779732286930084, 0, 0.2615026533603668, 0]",['en'],0.432,0.725,7,-4.862,1,0.0431,0.00273,0.0,0.208,0.353,128.902,audio_features,009ImBOrIUlWgla8U05RAC,spotify:track:009ImBOrIUlWgla8U05RAC,https://api.spotify.com/v1/tracks/009ImBOrIUlWgla8U05RAC,https://api.spotify.com/v1/audio-analysis/009ImBOrIUlWgla8U05RAC,228879,4
Teeth Grinding [Mixed],009s5n5VZw4BlFBRJ27rnp,153600,False,"['Noize Suppressor', 'Multiplex MC']","['69IwChH6kBVij0cmVHSOtt', '4UH0QIaP1EfgY5FYAjMORI']","['dark hardcore', 'gabba', 'hardcore techno']",2019-04-01,,"[0, 0, 0, 0, 0, 0, 0]",[],0.46,0.986,7,-3.207,1,0.128,0.00183,0.283,0.378,0.232,175.054,audio_features,009s5n5VZw4BlFBRJ27rnp,spotify:track:009s5n5VZw4BlFBRJ27rnp,https://api.spotify.com/v1/tracks/009s5n5VZw4BlFBRJ27rnp,https://api.spotify.com/v1/audio-analysis/009s5n5VZw4BlFBRJ27rnp,153600,4
